x[nm],y [nm],z [nm]
3171.62274597581,0,0
5656.8223569412,0,0
2692.63543894191,0,0
9649.73897334246,0,0
6119.52408158156,0,0
411.657539724833,0,0
2470.83997743924,0,0
5962.6271985931,0,0
4889.4821253291,0,0
5145.35896140802,0,0
7455.83856673217,0,0
9147.30626697581,0,0
1254.86416719003,0,0
5300.70135390754,0,0
8604.71951728247,0,0
8438.17574170809,0,0
7081.05168693584,0,0
8073.02524833126,0,0
2691.66876080001,0,0
2568.72649309362,0,0
3160.57272807112,0,0
4572.57709183465,0,0
3211.86874544025,0,0
3839.09928787806,0,0
6032.73742931909,0,0
9880.88347398792,0,0
572.820614786645,0,0
8633.03472454769,0,0
3773.33060555947,0,0
623.384703676243,0,0
1168.39078147435,0,0
393.59664836488,0,0
8989.58009547233,0,0
104.38564096891,0,0
9271.37328444254,0,0
2900.45603843209,0,0
7728.53036626747,0,0
3042.69766391312,0,0
8795.27075559111,0,0
2496.51741011993,0,0
2995.53152093844,0,0
2395.58488296043,0,0
4438.91370000444,0,0
2173.05705683834,0,0
4695.07615975697,0,0
5284.89586105259,0,0
1129.60894620058,0,0
1937.00802466286,0,0
1438.53558261537,0,0
7844.1625936643,0,0
8297.55227803309,0,0
4870.68091896761,0,0
8067.47910575102,0,0
3166.40696605784,0,0
4881.02424106646,0,0
9917.34776536407,0,0
9569.3714408016,0,0
8793.84821355938,0,0
7650.30030422519,0,0
4652.33218733749,0,0
9698.21357523373,0,0
715.469041434046,0,0
7667.34602570577,0,0
6838.68904601368,0,0
612.550042465047,0,0
4350.89179605381,0,0
2973.11639672256,0,0
5930.93963744663,0,0
6595.01154935105,0,0
7067.84162727051,0,0
7124.81373610897,0,0
381.694132199244,0,0
6204.6805616585,0,0
7650.96854028489,0,0
5757.85665999728,0,0
6103.33455247693,0,0
5822.28972821191,0,0
3696.46319268655,0,0
773.734096726641,0,0
7969.0551768577,0,0
4636.54528909024,0,0
5894.33738618521,0,0
4893.12737909336,0,0
119.18541645051,0,0
4604.8871823056,0,0
5793.67807031653,0,0
6566.26122862372,0,0
6576.14792184797,0,0
6474.68566034735,0,0
9689.95948378139,0,0
1036.4545815901,0,0
1947.81288338417,0,0
8607.9159391766,0,0
9855.73873227572,0,0
3454.6420727153,0,0
7091.4142222421,0,0
7665.03176092948,0,0
8073.33176262804,0,0
4655.07144210443,0,0
4700.22952394268,0,0
3171.49525534156,0,0
3130.37106109097,0,0
9240.18512332593,0,0
8311.68580433512,0,0
5577.93899100233,0,0
8395.40971137636,0,0
8908.63030581746,0,0
8813.16365887422,0,0
5958.86984985378,0,0
3530.24263864951,0,0
4864.43216125405,0,0
7985.66343218652,0,0
886.187642129314,0,0
198.884258624317,0,0
5685.93068766296,0,0
3873.24756916049,0,0
6738.00868698548,0,0
1713.09451227423,0,0
1408.7923961423,0,0
668.571375018407,0,0
502.223450908051,0,0
1355.99714302178,0,0
3189.45980734809,0,0
7579.46493288491,0,0
2644.58019480322,0,0
3849.59163074101,0,0
2248.29685170121,0,0
6420.38195900027,0,0
5832.25228689009,0,0
174.43049726212,0,0
7070.06258987539,0,0
2555.04583174611,0,0
2315.20636462941,0,0
7687.34086579999,0,0
6373.12177876544,0,0
5211.00160052098,0,0
3797.10287878097,0,0
7034.24827869039,0,0
3030.81360423028,0,0
1094.35309306501,0,0
3813.32740142901,0,0
8165.45088903854,0,0
7037.56439915045,0,0
1636.02555269751,0,0
7642.26893662841,0,0
9255.69502575406,0,0
2116.13129135575,0,0
2059.83399914347,0,0
3173.26293429751,0,0
6014.87110966889,0,0
9036.1940249888,0,0
2456.07394946649,0,0
610.734009252154,0,0
6293.84641725363,0,0
8446.63226788114,0,0
4922.93128105322,0,0
8555.13141589253,0,0
2671.48001345757,0,0
1923.93965213587,0,0
5062.82257365013,0,0
6646.64765853275,0,0
1825.4830952468,0,0
2614.37386343673,0,0
1891.54879987826,0,0
8544.71014078109,0,0
3970.21529118258,0,0
7902.60833376334,0,0
2756.02196103371,0,0
3274.01648796956,0,0
