id,frame,x[nm],y [nm],z [nm]
1,1,2889.237,-3684.662,340.704
1,1,2889.237,-3684.662,340.704
1,1,2884.917,-3695.031,331.856
1,1,2884.917,-3695.031,331.856
1,1,2902.287,-3713.252,333.775
1,1,2903.896,-3720.117,339.456
1,1,2903.896,-3720.117,339.456
1,1,2903.896,-3720.117,339.456
1,1,2915.741,-3704.336,340.349
1,1,2913.5,-3704.541,346.982
1,1,2913.5,-3704.541,346.982
1,1,2857.757,-3666.401,339.934
1,1,2857.757,-3666.401,339.934
1,1,2857.757,-3666.401,339.934
1,1,2915.727,-3718.249,347.961
1,1,2915.727,-3718.249,347.961
1,1,2931.826,-3734.552,335.33
1,1,2938.684,-3723.304,330.943
1,1,2903.416,-3701.257,348.587
1,1,2903.416,-3701.257,348.587
1,1,2903.416,-3701.257,348.587
1,1,2903.416,-3701.257,348.587
1,1,2920.528,-3720.518,329.502
1,1,2920.528,-3720.518,329.502
1,1,2920.528,-3720.518,329.502
1,1,2859.732,-3685.669,349.642
1,1,2859.732,-3685.669,349.642
1,1,2942.26,-3736.143,348.047
1,1,2943.123,-3726.139,334.234
1,1,2911.985,-3719.109,349.48
1,1,2930.091,-3724.704,330.008
1,1,2930.091,-3724.704,330.008
1,1,2852.475,-3678.483,339.049
1,1,2852.475,-3678.483,339.049
1,1,2852.475,-3678.483,339.049
1,1,2852.475,-3678.483,339.049
1,1,2852.475,-3678.483,339.049
1,1,2852.475,-3678.483,339.049
1,1,2913.133,-3721.968,337.819
1,1,2913.133,-3721.968,337.819
1,1,2848,-3657.447,341.677
1,1,2848,-3657.447,341.677
1,1,2916.424,-3707.094,338.145
1,1,2916.424,-3707.094,338.145
1,1,2868.754,-3683.598,332.394
1,1,2868.754,-3683.598,332.394
1,1,2868.754,-3683.598,332.394
1,1,2868.754,-3683.598,332.394
1,1,2908.843,-3714.47,348.258
1,1,2908.843,-3714.47,348.258
1,1,2917.788,-3707.286,338.663
1,1,2917.788,-3707.286,338.663
1,1,2917.788,-3707.286,338.663
1,1,2917.788,-3707.286,338.663
1,1,2917.788,-3707.286,338.663
1,1,2850.192,-3674.458,336.556
1,1,2850.192,-3674.458,336.556
1,1,2908.231,-3722.663,337.505
1,1,2908.231,-3722.663,337.505
1,1,2908.231,-3722.663,337.505
1,1,2908.231,-3722.663,337.505
1,1,2908.231,-3722.663,337.505
1,1,2908.231,-3722.663,337.505
1,1,2869.709,-3674.677,339.588
1,1,2850.844,-3659.597,334.659
1,1,2850.844,-3659.597,334.659
1,1,2894.969,-3691.43,336.617
1,1,2894.969,-3691.43,336.617
1,1,2894.969,-3691.43,336.617
1,1,2881.882,-3686.513,349.052
1,1,2854.796,-3669.022,332.555
1,1,2854.796,-3669.022,332.555
1,1,2854.796,-3669.022,332.555
1,1,2854.796,-3669.022,332.555
1,1,2854.796,-3669.022,332.555
1,1,2875.04,-3683.162,336.055
1,1,2875.04,-3683.162,336.055
1,1,2939.761,-3719.806,342.207
1,1,2939.761,-3719.806,342.207
1,1,2939.761,-3719.806,342.207
1,1,2939.761,-3719.806,342.207
1,1,2939.761,-3719.806,342.207
1,1,2855.583,-3677.744,336.335
1,1,2862.669,-3682.284,338.009
1,1,2862.669,-3682.284,338.009
1,1,2862.669,-3682.284,338.009
1,1,2862.669,-3682.284,338.009
1,1,2862.669,-3682.284,338.009
1,1,2937.888,-3726.705,348.598
1,1,2937.888,-3726.705,348.598
1,1,2918.67,-3707.349,342.973
1,1,2918.67,-3707.349,342.973
1,1,2918.67,-3707.349,342.973
1,1,2918.67,-3707.349,342.973
1,1,2904.729,-3696.907,342.285
1,1,2904.729,-3696.907,342.285
1,1,2899.305,-3711.563,332.491
1,1,2899.305,-3711.563,332.491
1,1,2895.546,-3708.079,335.696
1,1,2895.546,-3708.079,335.696
1,1,2905.2,-3717.608,337.254
1,1,2905.2,-3717.608,337.254
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2903.321,-3705.499,333.002
1,1,2865.991,-3686.913,337.121
1,1,2865.991,-3686.913,337.121
1,1,2865.991,-3686.913,337.121
1,1,2865.991,-3686.913,337.121
1,1,2865.991,-3686.913,337.121
1,1,2870.527,-3690.954,333.321
1,1,2930.324,-3715.676,341.156
1,1,2930.324,-3715.676,341.156
1,1,2900.914,-3703.469,349.557
1,1,2931.552,-3716.285,332.388
1,1,2920.652,-3714.948,330.739
1,1,2920.652,-3714.948,330.739
1,1,2920.652,-3714.948,330.739
1,1,2920.652,-3714.948,330.739
1,1,2920.652,-3714.948,330.739
1,1,2885.756,-3691.533,351.169
1,1,2885.756,-3691.533,351.169
1,1,2885.756,-3691.533,351.169
1,1,2916.12,-3708.87,350.239
1,1,2916.12,-3708.87,350.239
1,1,2916.12,-3708.87,350.239
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2922.492,-3720.62,351.74
1,1,2891.384,-3699.082,350.515
1,1,2891.384,-3699.082,350.515
1,1,2878.225,-3683.47,350.992
1,1,2878.225,-3683.47,350.992
1,1,2878.225,-3683.47,350.992
1,1,2878.225,-3683.47,350.992
1,1,2869.785,-3677.159,354.545
1,1,2869.785,-3677.159,354.545
1,1,2869.785,-3677.159,354.545
1,1,2869.785,-3677.159,354.545
1,1,2869.785,-3677.159,354.545
1,1,2864.252,-3686.79,350.54
1,1,2867.524,-3679.815,353.262
1,1,2867.524,-3679.815,353.262
1,1,2867.524,-3679.815,353.262
1,1,2899.524,-3710.565,350.939
1,1,2899.524,-3710.565,350.939
1,1,2899.524,-3710.565,350.939
1,1,2899.524,-3710.565,350.939
1,1,2859.847,-3674.25,353.396
1,1,2859.847,-3674.25,353.396
1,1,2963.617,-3737.95,336.263
1,1,2963.617,-3737.95,336.263
1,1,2963.617,-3737.95,336.263
1,1,2963.617,-3737.95,336.263
1,1,2950.045,-3730.207,348.852
1,1,2950.045,-3730.207,348.852
1,1,2953.923,-3736.25,329.653
1,1,2968.333,-3739.503,331.982
1,1,2968.333,-3739.503,331.982
1,1,2968.333,-3739.503,331.982
1,1,2968.333,-3739.503,331.982
1,1,2968.333,-3739.503,331.982
1,1,2954.367,-3733.855,336.353
1,1,2971.372,-3743.837,341.437
1,1,3021.545,-3789.721,344.513
1,1,3021.545,-3789.721,344.513
1,1,3021.545,-3789.721,344.513
1,1,2978.425,-3766.207,337.76
1,1,2978.425,-3766.207,337.76
1,1,2978.425,-3766.207,337.76
1,1,3004.368,-3765.524,329.781
1,1,3010.413,-3783.944,342.178
1,1,3000.013,-3763.167,341.055
1,1,3000.013,-3763.167,341.055
1,1,3000.013,-3763.167,341.055
1,1,2990.964,-3756.154,342.946
1,1,2990.964,-3756.154,342.946
1,1,2990.964,-3756.154,342.946
1,1,3045.549,-3800.955,345.227
1,1,3045.549,-3800.955,345.227
1,1,2982.363,-3754.547,347.871
1,1,2982.363,-3754.547,347.871
1,1,2982.363,-3754.547,347.871
1,1,3002.989,-3767.389,326.644
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,2956.807,-3748.644,331.888
1,1,3004.088,-3773.146,345.589
1,1,3004.088,-3773.146,345.589
1,1,3004.088,-3773.146,345.589
1,1,3033.643,-3783.209,331.503
1,1,3033.643,-3783.209,331.503
1,1,2971.23,-3760.576,339.463
1,1,2971.23,-3760.576,339.463
1,1,2971.23,-3760.576,339.463
1,1,3011.538,-3772.357,331.442
1,1,3011.538,-3772.357,331.442
1,1,3011.538,-3772.357,331.442
1,1,3011.538,-3772.357,331.442
1,1,3011.538,-3772.357,331.442
1,1,3011.538,-3772.357,331.442
1,1,2968.017,-3746.065,349.897
1,1,2968.017,-3746.065,349.897
1,1,2968.017,-3746.065,349.897
1,1,3009.138,-3771.566,341.94
1,1,3009.138,-3771.566,341.94
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2982.85,-3750.461,344.921
1,1,2957.548,-3752.092,342.317
1,1,2957.548,-3752.092,342.317
1,1,2957.548,-3752.092,342.317
1,1,2994.048,-3772.674,329.477
1,1,2994.048,-3772.674,329.477
1,1,2994.048,-3772.674,329.477
1,1,2994.048,-3772.674,329.477
1,1,2991.141,-3754.975,340.457
1,1,2991.141,-3754.975,340.457
1,1,2991.141,-3754.975,340.457
1,1,2969.059,-3758.238,328.848
1,1,2969.059,-3758.238,328.848
1,1,2969.059,-3758.238,328.848
1,1,3023.284,-3777.311,335.407
1,1,3023.284,-3777.311,335.407
1,1,3023.284,-3777.311,335.407
1,1,3023.284,-3777.311,335.407
1,1,3023.284,-3777.311,335.407
1,1,3023.284,-3777.311,335.407
1,1,3017.252,-3789.381,345.865
1,1,3017.252,-3789.381,345.865
1,1,3017.252,-3789.381,345.865
1,1,3017.252,-3789.381,345.865
1,1,3005.888,-3784.664,341.257
1,1,3005.888,-3784.664,341.257
1,1,2993.736,-3771.322,329.109
1,1,2993.736,-3771.322,329.109
1,1,2993.736,-3771.322,329.109
1,1,3030.417,-3791.665,325.508
1,1,3030.417,-3791.665,325.508
1,1,3028.253,-3787.013,327.621
1,1,3028.253,-3787.013,327.621
1,1,2973.689,-3758.087,331.994
1,1,2973.689,-3758.087,331.994
1,1,2957.867,-3746.367,346.069
1,1,2957.867,-3746.367,346.069
1,1,3030.368,-3800.715,335.171
1,1,3030.368,-3800.715,335.171
1,1,3030.368,-3800.715,335.171
1,1,3030.368,-3800.715,335.171
1,1,3067.698,-3808.988,325.245
1,1,3067.698,-3808.988,325.245
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3068.31,-3806.719,332.693
1,1,3099.954,-3830.371,339.191
1,1,3099.954,-3830.371,339.191
1,1,3099.954,-3830.371,339.191
1,1,3099.954,-3830.371,339.191
1,1,3068.743,-3827.507,331.131
1,1,3068.743,-3827.507,331.131
1,1,3068.743,-3827.507,331.131
1,1,3058.417,-3797.921,334.701
1,1,3058.417,-3797.921,334.701
1,1,3058.417,-3797.921,334.701
1,1,3046.105,-3811.038,332.586
1,1,3046.105,-3811.038,332.586
1,1,3046.105,-3811.038,332.586
1,1,3046.105,-3811.038,332.586
1,1,3046.105,-3811.038,332.586
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3111.24,-3838.712,339.016
1,1,3052.244,-3815.981,340.606
1,1,3052.244,-3815.981,340.606
1,1,3097.654,-3831.925,339.798
1,1,3089.6,-3833.302,323.902
1,1,3089.6,-3833.302,323.902
1,1,3094.387,-3828.683,333.644
1,1,3047.998,-3816.295,335.404
1,1,3047.998,-3816.295,335.404
1,1,3047.998,-3816.295,335.404
1,1,3101.609,-3831.459,333.801
1,1,3101.609,-3831.459,333.801
1,1,3101.609,-3831.459,333.801
1,1,3106.067,-3836.528,324.03
1,1,3087.615,-3820.49,328.989
1,1,3087.615,-3820.49,328.989
1,1,3076.26,-3817.121,328.892
1,1,3092.219,-3827.882,328.328
1,1,3103.342,-3835.456,327.56
1,1,3103.342,-3835.456,327.56
1,1,3103.342,-3835.456,327.56
1,1,3059.95,-3805.127,342.525
1,1,3076.579,-3830.499,326.72
1,1,3076.579,-3830.499,326.72
1,1,3076.579,-3830.499,326.72
1,1,3076.579,-3830.499,326.72
1,1,3087.866,-3821.305,340.699
1,1,3048.333,-3806.181,345.199
1,1,3065.269,-3805.252,332.992
1,1,3065.269,-3805.252,332.992
1,1,3073.226,-3815.741,327.183
1,1,3073.226,-3815.741,327.183
1,1,3073.226,-3815.741,327.183
1,1,3078.129,-3813.273,335.103
1,1,3078.129,-3813.273,335.103
1,1,3079.262,-3822.877,342.622
1,1,3079.262,-3822.877,342.622
1,1,3079.262,-3822.877,342.622
1,1,3079.262,-3822.877,342.622
1,1,3079.262,-3822.877,342.622
1,1,3079.262,-3822.877,342.622
1,1,3105.917,-3842.011,325.649
1,1,3087.983,-3841.403,331.069
1,1,3069.877,-3830.48,333.671
1,1,3079.87,-3836.371,338.108
1,1,3079.87,-3836.371,338.108
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3050.724,-3800.877,341.539
1,1,3061.022,-3811.979,343.823
1,1,3056.422,-3800.177,331.229
1,1,3056.422,-3800.177,331.229
1,1,3056.422,-3800.177,331.229
1,1,3056.422,-3800.177,331.229
1,1,3056.422,-3800.177,331.229
1,1,3098.369,-3842.348,339.56
1,1,3098.369,-3842.348,339.56
1,1,3098.369,-3842.348,339.56
1,1,3098.369,-3842.348,339.56
1,1,3098.369,-3842.348,339.56
1,1,3046.018,-3800.396,343.766
1,1,3046.018,-3800.396,343.766
1,1,3046.018,-3800.396,343.766
1,1,3046.018,-3800.396,343.766
1,1,3113.899,-3841.589,335.672
1,1,3081.81,-3825.785,324.209
1,1,3081.81,-3825.785,324.209
1,1,3081.81,-3825.785,324.209
1,1,3081.81,-3825.785,324.209
1,1,3132.636,-3856.98,324.145
1,1,3132.636,-3856.98,324.145
1,1,3132.636,-3856.98,324.145
1,1,3132.636,-3856.98,324.145
1,1,3143.787,-3892.847,332.008
1,1,3143.787,-3892.847,332.008
